frame_num,nose,left_eye,right_eye,right_shoulder,left_shoulder,left_elbow,right_elbow,right_wrist,left_wrist,left_hip,right_hip,left_knee,right_knee
1.0,"(0.5390142798423767, 0.5550884008407593, 0.16319113969802856)","(0.5369622707366943, 0.5469081997871399, 0.14511579275131226)","(0.5409272909164429, 0.5461193323135376, 0.15095944702625275)","(0.5665675401687622, 0.5939137935638428, 0.09344849735498428)","(0.527153730392456, 0.6003381013870239, 0.008654499426484108)","(0.5201969146728516, 0.673513650894165, 0.05005843564867973)","(0.5820643901824951, 0.6652721166610718, 0.1104067862033844)","(0.5800154805183411, 0.7090955376625061, 0.12308747321367264)","(0.5014582872390747, 0.6784639358520508, 0.1522451937198639)","(0.5465297698974609, 0.7357609868049622, -0.052015580236911774)","(0.5572425127029419, 0.7317045331001282, 0.05195349454879761)","(0.558815062046051, 0.8411908149719238, -0.07557530701160431)","(0.5399985909461975, 0.8230023384094238, 0.07989423722028732)"
2.0,"(0.5391586422920227, 0.5551468729972839, 0.16004174947738647)","(0.5370087027549744, 0.5469672083854675, 0.1427813619375229)","(0.5409857034683228, 0.5462703108787537, 0.14792205393314362)","(0.5666840672492981, 0.5954616069793701, 0.09344896674156189)","(0.5263964533805847, 0.6026216745376587, 0.01205128151923418)","(0.5200510621070862, 0.6734312772750854, 0.04094809293746948)","(0.5826690793037415, 0.6643408536911011, 0.09790219366550446)","(0.5788558721542358, 0.7059460878372192, 0.0896274745464325)","(0.49926602840423584, 0.6803762316703796, 0.12653818726539612)","(0.5442294478416443, 0.740140438079834, -0.051250603049993515)","(0.5552540421485901, 0.7359631657600403, 0.051268234848976135)","(0.5589439868927002, 0.841530978679657, -0.07481823116540909)","(0.5373178124427795, 0.8232508301734924, 0.08475746959447861)"
3.0,"(0.537363588809967, 0.555149495601654, 0.1666303426027298)","(0.535711944103241, 0.5472700595855713, 0.14973336458206177)","(0.539372980594635, 0.5465695261955261, 0.15545985102653503)","(0.5667533278465271, 0.5975186824798584, 0.10738769173622131)","(0.5262970328330994, 0.6025472283363342, 0.01998893730342388)","(0.5200496315956116, 0.6729439496994019, 0.033010587096214294)","(0.5824989080429077, 0.664351224899292, 0.10129590332508087)","(0.5751577019691467, 0.7036805152893066, 0.08527589589357376)","(0.49872130155563354, 0.6823999285697937, 0.0984291210770607)","(0.5426753759384155, 0.739130973815918, -0.05111614614725113)","(0.5553796887397766, 0.7352093458175659, 0.051149893552064896)","(0.5586922764778137, 0.8424829840660095, -0.07456371933221817)","(0.5370071530342102, 0.8221728801727295, 0.08473131060600281)"
4.0,"(0.5311402082443237, 0.557539165019989, 0.1425120234489441)","(0.5310412049293518, 0.5494109392166138, 0.12445059418678284)","(0.5338068604469299, 0.5490520596504211, 0.13475915789604187)","(0.566486656665802, 0.6001912355422974, 0.1142515018582344)","(0.5267274975776672, 0.602564811706543, -0.0031182521488517523)","(0.5208108425140381, 0.6725676655769348, 0.005776132922619581)","(0.5795975923538208, 0.6661754250526428, 0.13720501959323883)","(0.5680541396141052, 0.6996871829032898, 0.1489885449409485)","(0.498893141746521, 0.6863195300102234, 0.07601973414421082)","(0.5421903729438782, 0.7390713691711426, -0.05323604494333267)","(0.5554566979408264, 0.7350525856018066, 0.05323893204331398)","(0.5520404577255249, 0.8433039784431458, -0.0720910131931305)","(0.5389502048492432, 0.8261333703994751, 0.08808671683073044)"
5.0,"(0.5230548977851868, 0.5617626309394836, 0.08490245789289474)","(0.5248320698738098, 0.5528476238250732, 0.06736575812101364)","(0.5261204242706299, 0.5523381233215332, 0.08144170790910721)","(0.564824640750885, 0.6025274991989136, 0.11173313111066818)","(0.5281201004981995, 0.602676510810852, -0.05119295418262482)","(0.5224971771240234, 0.6735038161277771, -0.03789880499243736)","(0.5786240100860596, 0.6659974455833435, 0.14337226748466492)","(0.5660022497177124, 0.6939547657966614, 0.17021244764328003)","(0.49900513887405396, 0.693300724029541, 0.04643791541457176)","(0.5419262647628784, 0.7390262484550476, -0.0598108284175396)","(0.5555590987205505, 0.7359983325004578, 0.059704311192035675)","(0.5463765263557434, 0.8433054685592651, -0.0750577300786972)","(0.5386962294578552, 0.8334597945213318, 0.09253997355699539)"
6.0,"(0.5205835700035095, 0.5656067132949829, 0.06099445000290871)","(0.5226936936378479, 0.5563948154449463, 0.04523923248052597)","(0.5234052538871765, 0.555646538734436, 0.06176390498876572)","(0.5617501735687256, 0.6058991551399231, 0.10867146402597427)","(0.530613362789154, 0.6047619581222534, -0.06835028529167175)","(0.5293712019920349, 0.6790682673454285, -0.05744190886616707)","(0.5730378031730652, 0.6677122116088867, 0.15143640339374542)","(0.5627588033676147, 0.6941338181495667, 0.17994429171085358)","(0.5034914612770081, 0.6994765996932983, 0.031326353549957275)","(0.5422009825706482, 0.7437416911125183, -0.06455041468143463)","(0.5556681752204895, 0.74176025390625, 0.06440933793783188)","(0.54050612449646, 0.8447025418281555, -0.07384201884269714)","(0.5409110188484192, 0.8417239189147949, 0.09729985147714615)"
7.0,"(0.518878161907196, 0.5703164339065552, 0.03759564086794853)","(0.5212879776954651, 0.5610145330429077, 0.022991729900240898)","(0.5216662883758545, 0.5601382851600647, 0.041795432567596436)","(0.5582472681999207, 0.6086707711219788, 0.11203202605247498)","(0.5333330035209656, 0.6071069836616516, -0.08405350148677826)","(0.535625159740448, 0.6811899542808533, -0.08845459669828415)","(0.5710799098014832, 0.6683069467544556, 0.15789371728897095)","(0.5583832859992981, 0.6936172246932983, 0.17258484661579132)","(0.5090040564537048, 0.7053278088569641, -0.013379382900893688)","(0.5423099398612976, 0.747584342956543, -0.06655179709196091)","(0.5558472275733948, 0.7435007095336914, 0.0664963573217392)","(0.5339028835296631, 0.8450042009353638, -0.07944709807634354)","(0.5476477742195129, 0.8414434790611267, 0.07430319488048553)"
8.0,"(0.5174564719200134, 0.5767213702201843, 0.016450803726911545)","(0.5199714303016663, 0.5675737857818604, 0.0024525632616132498)","(0.5202066898345947, 0.5664984583854675, 0.019677788019180298)","(0.5553373098373413, 0.6129764914512634, 0.08626963198184967)","(0.5357799530029297, 0.6127795577049255, -0.08963172137737274)","(0.5399512648582458, 0.6863179206848145, -0.09867648035287857)","(0.5649886727333069, 0.670669436454773, 0.1441466361284256)","(0.5516658425331116, 0.6948114037513733, 0.17259763181209564)","(0.5138652920722961, 0.7118971943855286, -0.040607403963804245)","(0.5434904098510742, 0.7545462846755981, -0.060043253004550934)","(0.555877685546875, 0.7514037489891052, 0.06000687927007675)","(0.522975504398346, 0.848034679889679, -0.0413200818002224)","(0.5570009350776672, 0.8459775447845459, 0.0735541582107544)"
9.0,"(0.5152860283851624, 0.5836578607559204, -0.009641858749091625)","(0.5181629657745361, 0.5746710300445557, -0.020993540063500404)","(0.517987072467804, 0.5739290118217468, -0.0020874314941465855)","(0.5469041466712952, 0.6194535493850708, 0.08868149667978287)","(0.5401029586791992, 0.6210158467292786, -0.09604453295469284)","(0.5455325245857239, 0.6907045245170593, -0.11984561383724213)","(0.5484916567802429, 0.6851988434791565, 0.11603917926549911)","(0.5307436585426331, 0.7252478003501892, 0.08101505786180496)","(0.5165314674377441, 0.7197571396827698, -0.09047648310661316)","(0.5436784625053406, 0.758526623249054, -0.05977535992860794)","(0.5551174879074097, 0.756715714931488, 0.05974914878606796)","(0.5149729251861572, 0.8507891297340393, -0.04676578938961029)","(0.5612932443618774, 0.8471239805221558, 0.07442913949489594)"
10.0,"(0.5128505825996399, 0.5877077579498291, -0.004229062236845493)","(0.5158618092536926, 0.5781800150871277, -0.01528868731111288)","(0.515831708908081, 0.5776886343955994, 0.0036064961459487677)","(0.5441305637359619, 0.6229810118675232, 0.09162745624780655)","(0.5388479232788086, 0.6245602369308472, -0.09326930344104767)","(0.5479839444160461, 0.6936520934104919, -0.12056836485862732)","(0.5492849349975586, 0.6864897012710571, 0.1209496334195137)","(0.531049370765686, 0.7298569083213806, 0.10082778334617615)","(0.517715573310852, 0.7252839803695679, -0.09148870408535004)","(0.5438669919967651, 0.7604362368583679, -0.058990154415369034)","(0.5551815629005432, 0.7589437961578369, 0.05896738916635513)","(0.5098239183425903, 0.8501713871955872, -0.04748188704252243)","(0.5677536129951477, 0.8513590693473816, 0.07494565844535828)"
